datetime,open,high,low,close,volume
2025-03-03T09:15:00+05:30,1204.9,1206.45,1196.65,1200.0,177743
2025-03-03T09:16:00+05:30,1200.6,1200.9,1196.1,1197.3,102607
2025-03-03T09:17:00+05:30,1197.3,1200.85,1196.9,1198.05,68077
2025-03-03T09:18:00+05:30,1198.05,1199.05,1197.05,1198.0,65098
2025-03-03T09:19:00+05:30,1198.2,1199.7,1197.5,1199.15,49217
2025-03-03T09:20:00+05:30,1199.15,1200.0,1197.3,1199.0,96660
2025-03-03T09:21:00+05:30,1198.75,1199.0,1197.55,1198.25,47156
2025-03-03T09:22:00+05:30,1198.0,1198.3,1194.55,1195.4,97075
2025-03-03T09:23:00+05:30,1195.55,1195.55,1191.4,1192.0,57373
2025-03-03T09:24:00+05:30,1191.7,1192.35,1190.1,1191.15,130390
2025-03-03T09:25:00+05:30,1191.15,1191.15,1188.35,1188.55,101137
2025-03-03T09:26:00+05:30,1189.0,1189.85,1186.0,1186.4,74267
2025-03-03T09:27:00+05:30,1186.4,1186.5,1183.5,1185.05,105384
2025-03-03T09:28:00+05:30,1185.3,1185.55,1183.0,1184.3,49538
2025-03-03T09:29:00+05:30,1184.0,1184.7,1183.05,1183.55,50942
2025-03-03T09:30:00+05:30,1183.95,1183.95,1178.15,1178.7,173390
2025-03-03T09:31:00+05:30,1178.7,1178.7,1175.2,1175.85,145302
2025-03-03T09:32:00+05:30,1175.35,1175.9,1174.25,1175.5,148824
2025-03-03T09:33:00+05:30,1175.5,1176.9,1173.55,1176.8,86098
2025-03-03T09:34:00+05:30,1176.35,1177.45,1175.65,1176.45,58544
2025-03-03T09:35:00+05:30,1176.25,1176.45,1173.95,1174.35,71090
2025-03-03T09:36:00+05:30,1174.3,1174.3,1171.0,1174.0,85305
2025-03-03T09:37:00+05:30,1174.0,1175.85,1173.65,1175.6,51495
2025-03-03T09:38:00+05:30,1175.7,1176.1,1173.0,1175.45,58632
2025-03-03T09:39:00+05:30,1175.3,1176.25,1174.75,1176.1,36637
2025-03-03T09:40:00+05:30,1176.05,1176.2,1173.0,1173.45,78160
2025-03-03T09:41:00+05:30,1173.45,1173.45,1170.6,1171.0,82287
2025-03-03T09:42:00+05:30,1171.0,1171.0,1168.55,1168.8,134803
2025-03-03T09:43:00+05:30,1169.2,1170.9,1168.85,1169.5,70613
2025-03-03T09:44:00+05:30,1169.5,1170.0,1167.0,1167.6,77131
2025-03-03T09:45:00+05:30,1167.6,1168.65,1165.65,1166.2,75196
2025-03-03T09:46:00+05:30,1166.15,1168.0,1165.55,1167.9,53487
2025-03-03T09:47:00+05:30,1167.85,1169.3,1166.5,1167.6,54546
2025-03-03T09:48:00+05:30,1167.35,1168.0,1165.1,1165.2,66294
2025-03-03T09:49:00+05:30,1165.4,1165.45,1163.25,1164.1,118365
2025-03-03T09:50:00+05:30,1164.1,1164.35,1161.6,1162.0,66550
2025-03-03T09:51:00+05:30,1162.0,1164.95,1161.15,1162.85,83271
2025-03-03T09:52:00+05:30,1162.85,1163.6,1162.3,1162.6,50265
2025-03-03T09:53:00+05:30,1162.65,1163.6,1162.05,1162.9,49682
2025-03-03T09:54:00+05:30,1162.85,1163.95,1161.55,1162.8,62704
2025-03-03T09:55:00+05:30,1162.8,1164.0,1162.7,1163.95,45955
2025-03-03T09:56:00+05:30,1163.65,1165.9,1163.15,1165.85,73682
2025-03-03T09:57:00+05:30,1165.85,1165.9,1163.5,1164.75,66658
2025-03-03T09:58:00+05:30,1164.7,1165.9,1164.35,1165.0,44547
2025-03-03T09:59:00+05:30,1165.4,1167.5,1165.05,1166.8,90809
2025-03-03T10:00:00+05:30,1166.8,1167.3,1165.0,1165.25,56345
2025-03-03T10:01:00+05:30,1165.0,1165.2,1162.65,1163.75,81226
2025-03-03T10:02:00+05:30,1163.3,1163.75,1161.15,1161.9,65721
2025-03-03T10:03:00+05:30,1161.95,1163.45,1161.45,1163.15,48241
2025-03-03T10:04:00+05:30,1163.0,1163.7,1162.35,1163.05,46540
2025-03-03T10:05:00+05:30,1163.35,1164.0,1162.55,1163.45,41474
2025-03-03T10:06:00+05:30,1163.1,1163.7,1162.0,1163.0,61071
2025-03-03T10:07:00+05:30,1162.95,1163.8,1162.0,1162.4,40733
2025-03-03T10:08:00+05:30,1162.4,1162.7,1161.15,1161.8,36893
2025-03-03T10:09:00+05:30,1161.4,1162.95,1161.2,1162.0,33788
2025-03-03T10:10:00+05:30,1161.85,1164.15,1161.7,1164.0,31399
2025-03-03T10:11:00+05:30,1163.95,1163.95,1161.95,1162.0,53709
2025-03-03T10:12:00+05:30,1162.05,1164.0,1162.0,1163.35,38876
2025-03-03T10:13:00+05:30,1163.15,1163.4,1161.85,1162.5,78109
2025-03-03T10:14:00+05:30,1162.35,1162.75,1160.05,1160.35,82618
2025-03-03T10:15:00+05:30,1160.1,1161.0,1159.05,1160.7,143820
2025-03-03T10:16:00+05:30,1160.6,1161.75,1160.05,1161.65,27197
2025-03-03T10:17:00+05:30,1161.5,1161.65,1160.45,1160.85,24443
2025-03-03T10:18:00+05:30,1160.8,1161.5,1160.0,1161.0,64968
2025-03-03T10:19:00+05:30,1160.55,1161.0,1159.75,1160.45,35859
2025-03-03T10:20:00+05:30,1160.55,1160.65,1156.0,1157.0,88691
2025-03-03T10:21:00+05:30,1157.2,1159.15,1156.4,1158.0,53319
2025-03-03T10:22:00+05:30,1158.0,1159.75,1157.7,1159.1,49773
2025-03-03T10:23:00+05:30,1159.1,1160.2,1158.75,1160.2,58958
2025-03-03T10:24:00+05:30,1160.05,1161.6,1159.7,1160.55,32971
2025-03-03T10:25:00+05:30,1160.15,1160.85,1159.2,1160.8,37352
2025-03-03T10:26:00+05:30,1160.5,1162.85,1160.0,1162.8,52795
2025-03-03T10:27:00+05:30,1162.5,1164.65,1162.2,1164.0,73639
2025-03-03T10:28:00+05:30,1164.0,1165.7,1164.0,1165.4,71785
2025-03-03T10:29:00+05:30,1165.0,1165.2,1164.0,1164.55,48291
2025-03-03T10:30:00+05:30,1164.1,1164.95,1162.4,1162.8,44098
2025-03-03T10:31:00+05:30,1162.5,1163.95,1162.1,1163.5,34678
2025-03-03T10:32:00+05:30,1163.5,1164.0,1163.05,1164.0,28368
2025-03-03T10:33:00+05:30,1163.9,1164.0,1162.1,1162.6,31185
2025-03-03T10:34:00+05:30,1162.3,1163.7,1162.25,1163.5,17569
2025-03-03T10:35:00+05:30,1163.5,1164.1,1162.85,1164.05,25848
2025-03-03T10:36:00+05:30,1164.05,1164.85,1163.35,1164.85,33351
2025-03-03T10:37:00+05:30,1164.8,1165.4,1164.2,1165.2,44322
2025-03-03T10:38:00+05:30,1165.2,1165.5,1164.55,1165.5,20481
2025-03-03T10:39:00+05:30,1165.5,1165.9,1164.4,1165.0,36286
2025-03-03T10:40:00+05:30,1165.0,1165.15,1163.65,1164.55,34135
2025-03-03T10:41:00+05:30,1164.65,1164.9,1163.6,1164.15,22030
2025-03-03T10:42:00+05:30,1164.15,1164.15,1162.6,1162.85,33802
2025-03-03T10:43:00+05:30,1162.95,1163.0,1160.3,1160.8,53647
2025-03-03T10:44:00+05:30,1160.8,1161.3,1160.0,1160.75,47981
2025-03-03T10:45:00+05:30,1160.7,1161.9,1160.0,1161.9,78811
2025-03-03T10:46:00+05:30,1161.85,1162.8,1161.45,1162.7,22205
2025-03-03T10:47:00+05:30,1162.7,1162.7,1161.0,1161.7,34466
2025-03-03T10:48:00+05:30,1161.7,1162.45,1160.9,1161.75,54381
